name,price,img,web,phone,addr,hours,review,neighborhood
Lois,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Lois.JPG?auto=format&blur=100&q=0&w=256,http://www.loisbarnyc.com,(212) 475-1400,98 Avenue C,"[('Saturday', '4pm-12am'), ('Sunday', '4pm-11pm'), ('Monday', '5pm-12am'), ('Tuesday', '5pm-12am'), ('Wednesday', '5pm-12am'), ('Thursday', '5pm-12am'), ('Friday', '5pm-12am'), ('Saturday', '4pm-12am'), ('Sunday', '4pm-11pm'), ('Monday', '5pm-12am'), ('Tuesday', '5pm-12am'), ('Wednesday', '5pm-12am'), ('Thursday', '5pm-12am'), ('Friday', '5pm-12am')]","Lois is an awesomely designed little wine bar that looks like it could be in Copenhagen, where all the wines are served on tap. They also serve a short menu of really solid food. Avocado arepa? Yes please.",1
Sake Bar Decibel,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Sake%20Bar%20Decibel.jpg?auto=format&blur=100&q=0&w=256,http://www.sakebardecibel.com,(212) 979-2733,240 E 9th St,"[('Saturday', '6pm-3am'), ('Sunday', '6pm-1am'), ('Monday', '6pm-3am'), ('Tuesday', '6pm-3am'), ('Wednesday', '6pm-3am'), ('Thursday', '6pm-3am'), ('Friday', '6pm-3am'), ('Saturday', '6pm-3am'), ('Sunday', '6pm-1am'), ('Monday', '6pm-3am'), ('Tuesday', '6pm-3am'), ('Wednesday', '6pm-3am'), ('Thursday', '6pm-3am'), ('Friday', '6pm-3am')]","Head down the stairs past that flashing “On Air” sign and you’ll end up in a graffiti-covered cave of sake. Tables fill up quickly here, so don’t come with a big group, but this is one of the coolest and most unusual rooms in the city.",1
The Otheroom,1,https://infatuation.imgix.net/media/CACHE/images/images/reviews/the-otheroom/banners/1492180864.72/58fdd1221ae0ede9d5757f33f8e03e65.jpg?auto=format&blur=100&q=0&w=256,http://www.theotheroomnyc.com,(212) 645-9758,143 Perry St,"[('Saturday', '5pm-4am'), ('Sunday', '5pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-4am'), ('Wednesday', '5pm-4am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am'), ('Saturday', '5pm-4am'), ('Sunday', '5pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-4am'), ('Wednesday', '5pm-4am'), ('Thursday', '5pm-4am'), ('Friday', '5pm-4am')]","The Otherroom is not where you go when you want to party. It’s where you go on a low-key date, or with a friend who won’t be weirded out that everyone around you is on a low-key date. It’s not covered in rose petals or anything, but it is dark and candlelit. Also, there’s no hard liquor. In conclusion, if you want wine or beer or are going on a date or a non-date, this is a solid choice.",3
Virgola,1,https://infatuation.imgix.net/media/CACHE/images/images/reviews/virgola/banners/1492180670.82/1e488505e420ba5891dd77be75f9a9c9.jpg?auto=format&blur=100&q=0&w=256,http://www.virgolausa.com,(212) 330-6565,28 Greenwich Ave,"[('Saturday', '4pm-12am'), ('Sunday', '4pm-12am'), ('Monday', '4pm-12am'), ('Tuesday', '4pm-12am'), ('Wednesday', '4pm-12am'), ('Thursday', '4pm-12am'), ('Friday', '4pm-12am'), ('Saturday', '4pm-12am'), ('Sunday', '4pm-12am'), ('Monday', '4pm-12am'), ('Tuesday', '4pm-12am'), ('Wednesday', '4pm-12am'), ('Thursday', '4pm-12am'), ('Friday', '4pm-12am')]","Stand up. Walk four steps to your left. You’ve now walked the entire width of Virgola, which may very well be the smallest bar in New York City. Don’t let its stature deceive you – this Italian wine bar deserves a spot on your roster. It’s dark and vibey, and has $1 oysters all day.",3
Anfora,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Anfora%20Bar.jpg?auto=format&blur=100&q=0&w=256,http://www.anforanyc.com,(212) 518-2722,34 8th Ave,"[('Saturday', '4pm-2am'), ('Sunday', '4pm-1am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am'), ('Saturday', '4pm-2am'), ('Sunday', '4pm-1am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am')]","The sister bar to dell’anima, Anfora is another very good and very useful wine bar, with solid cocktails and small plates, and a great happy hour. At this point, you’re probably catching on to the fact that the West Village is full of spots that are perfect for dates. This is one of them.",3
Little Branch,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Little%20Branch.jpg?auto=format&blur=100&q=0&w=256,No website available.,(212) 929-4360,20 7th Ave S,"[('Saturday', '7pm-3am'), ('Sunday', '7pm-3am'), ('Monday', '7pm-3am'), ('Tuesday', '7pm-3am'), ('Wednesday', '7pm-3am'), ('Thursday', '7pm-3am'), ('Friday', '7pm-3am'), ('Saturday', '7pm-3am'), ('Sunday', '7pm-3am'), ('Monday', '7pm-3am'), ('Tuesday', '7pm-3am'), ('Wednesday', '7pm-3am'), ('Thursday', '7pm-3am'), ('Friday', '7pm-3am')]","Little Branch was an early pioneer of the speakeasy scene. Its underground space is limited to a strict capacity (first come, first served), which keeps the mood inside pretty intimate and perfect for a date or small groups. They also have live jazz sometimes, which either gives you another good reason to go or makes you want to head straight for whatever club in the Meatpacking is playing The Weeknd.",3
Rusty Knot,2,https://infatuation.imgix.net/media/CACHE/images/reviews/rusty-knot/banners/Rusty-Knot-header-photo_1/7c86054e2f2e74bcef8bae9b4ee282ad.jpg?auto=format&blur=100&q=0&w=256,http://www.therustyknot.com,212-645-5668,425 West St.,"[('Saturday', '2pm-4am'), ('Sunday', '2pm-4am'), ('Monday', '4pm-4am'), ('Tuesday', '4pm-4am'), ('Wednesday', '4pm-4am'), ('Thursday', '4pm-4am'), ('Friday', '4pm-4am'), ('Saturday', '2pm-4am'), ('Sunday', '2pm-4am'), ('Monday', '4pm-4am'), ('Tuesday', '4pm-4am'), ('Wednesday', '4pm-4am'), ('Thursday', '4pm-4am'), ('Friday', '4pm-4am')]","Given its extreme West location, Rusty Knot is either where you start your night, or where you end up late. Regardless of whether you can remember your experience the next morning, chances are you had a good time. The Rusty Knot’s nautical vibes, strong drinks, and fun crowd are its main draws, but it also serves a pretzel dog that has saved our life on several occasions.",3
The Happiest Hour,2,https://infatuation.imgix.net/media/CACHE/images/reviews/the-happiest-hour/banners/happiest-hour-interior-3_1/e86d97561299581dffd0873bf9fe51b0.jpg?auto=format&blur=100&q=0&w=256,http://www.happiesthournyc.com,212-243-2827,121 W. 10th St.,"[('Saturday', '2pm-2am'), ('Sunday', '2pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am'), ('Saturday', '2pm-2am'), ('Sunday', '2pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am')]","The Happiest Hour is a place we’ve come to rely on for its winning combination of fantastic burgers and strong, good drinks. But if you’re looking to get into some Action At The Bar, this is an excellent place to find it. Both its front section and subterranean level are dedicated to bar space, and its throwback tiki vibes draw a crowd that always feels like it’s someone’s 25th birthday.",3
The Garret,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Garret%20West.jpg?auto=format&blur=100&q=0&w=256,http://www.garretnyc.com,(212) 675-6157,296 Bleecker St,"[('Saturday', '12pm-2am'), ('Sunday', '12pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am'), ('Saturday', '12pm-2am'), ('Sunday', '12pm-1am'), ('Monday', '5pm-1am'), ('Tuesday', '5pm-1am'), ('Wednesday', '5pm-1am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am')]","Walk all the way to the back of the West Village Five Guys, go up the staircase, and you’ll find yourself at The Garret. If the whole hidden Speakeasy thing isn’t enough reason for you, you should know the cocktails are solid and you can get a Five Guys burger to go with your Manhattan. This place is also a great weekend day drinking choice thanks to its huge skylights and windows.",3
Highlands,3,https://infatuation.imgix.net/media/CACHE/images/reviews/highlands/banners/Highlands_1/6da828c75ae69584f85cacf1df63f509.jpg?auto=format&blur=100&q=0&w=256,http://www.highlands-nyc.com/,212-229-2670,150 W. 10th St,"[('Saturday', '5pm-3am'), ('Sunday', '5:30pm-1am'), ('Monday', '5:30pm-1am'), ('Tuesday', '5:30pm-1am'), ('Wednesday', '5:30pm-1am'), ('Thursday', '5:30pm-2am'), ('Friday', '5pm-2am'), ('Saturday', '5pm-3am'), ('Sunday', '5:30pm-1am'), ('Monday', '5:30pm-1am'), ('Tuesday', '5:30pm-1am'), ('Wednesday', '5:30pm-1am'), ('Thursday', '5:30pm-2am'), ('Friday', '5pm-2am')]","Highlands is a Scottish bar that serves – you guessed it – Scotch. But not in a sedate, sip from a tumbler in a leather chair way. The Highlands is more of a party, and it can often get crowded. Think of it as the West side version of The Wren.",3
Daddy-O,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Daddy-O.jpg?auto=format&blur=100&q=0&w=256,http://www.daddyonyc.com,(212) 414-8884,44 Bedford St,"[('Saturday', '11:30am-4am'), ('Sunday', '11:30am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am'), ('Saturday', '11:30am-4am'), ('Sunday', '11:30am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am')]","Daddy-O’s is a true neighborhood bar – nicer than a dive, but not a fancy cocktail bar by any means. That middle ground can be pretty hard to find, and Daddy-O does it well. The cocktails are unexpectedly good, as is the bar food. You’d probably be pretty happy to hang out here any night of the week. Bring friends.",3
WXOU Radio Bar,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/WXOU%20Radio%20Bar.jpg?auto=format&blur=100&q=0&w=256,No website available.,(212) 206-0381,558 Hudson St,"[('Saturday', '1pm-4am'), ('Sunday', '1pm-4am'), ('Monday', '3pm-4am'), ('Tuesday', '3pm-4am'), ('Wednesday', '3pm-4am'), ('Thursday', '3pm-4am'), ('Friday', '3pm-4am'), ('Saturday', '1pm-4am'), ('Sunday', '1pm-4am'), ('Monday', '3pm-4am'), ('Tuesday', '3pm-4am'), ('Wednesday', '3pm-4am'), ('Thursday', '3pm-4am'), ('Friday', '3pm-4am')]","This is as straightforward a bar as you’ll find in the city. DGAF attitude, Dad rock, and beers & well drinks only are the key components here – it’s all familiar, and that’s a good thing. It’s the perfect place to take a break from the routinely expensive, sceney, and packed bars that you keep going back to. You’ll leave wishing you had this place on your corner.",3
Blind Tiger,2,https://infatuation.imgix.net/media/CACHE/images/reviews/blind-tiger/banners/Blind-Tiger-Ale-House_1/8c093d406dd0815b577af57666d7e300.jpg?auto=format&blur=100&q=0&w=256,http://www.blindtigeralehouse.com/,212-462-4682,281 Bleecker St.,"[('Saturday', '11:30am-4am'), ('Sunday', '11:30am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am'), ('Saturday', '11:30am-4am'), ('Sunday', '11:30am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am')]","The Blind Tiger is the West Village’s most popular beer bar, where people come to either geek out or bro out. If you can deal with crowds, you’ll be rewarded with an excellent selection of uncommon draft beers and very solid bar food.",4
Upright Brew House,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Upright%20Brewhouse%20Interior.jpg?auto=format&blur=100&q=0&w=256,http://www.uprightbrewhouse.com,(212) 810-9944,547 Hudson St,"[('Saturday', '10:30am-2am'), ('Sunday', '10:30am-12am'), ('Monday', '2pm-12am'), ('Tuesday', '2pm-12am'), ('Wednesday', '2pm-12am'), ('Thursday', '2pm-12am'), ('Friday', '2pm-2am'), ('Saturday', '10:30am-2am'), ('Sunday', '10:30am-12am'), ('Monday', '2pm-12am'), ('Tuesday', '2pm-12am'), ('Wednesday', '2pm-12am'), ('Thursday', '2pm-12am'), ('Friday', '2pm-2am')]","Part coffeehouse, part craft beer bar, The Upright Brewhouse is a true utility spot that works for all times of day and all kinds of activities, from studying to group hangs. If you manage to get bored here, there are even pinball machines downstairs.",3
The Village Tavern,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/Village%20Tavern%20Interior.jpg?auto=format&blur=100&q=0&w=256,http://villagetavernnyc.com,(212) 741-1935,46 Bedford St,"[('Saturday', '12pm-4am'), ('Sunday', '12pm-4am'), ('Monday', '4pm-4am'), ('Tuesday', '4pm-4am'), ('Wednesday', '4pm-4am'), ('Thursday', '4pm-4am'), ('Friday', '4pm-4am'), ('Saturday', '12pm-4am'), ('Sunday', '12pm-4am'), ('Monday', '4pm-4am'), ('Tuesday', '4pm-4am'), ('Wednesday', '4pm-4am'), ('Thursday', '4pm-4am'), ('Friday', '4pm-4am')]","This is the bar where you go to watch sports on TV and drink a Stella. Because sometimes that’s all you need. This place can get packed on weekend nights, but few things in life are as depressing as an empty sports bar.",3
The Up & Up,2,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/The%20Up%20and%20Up.jpg?auto=format&blur=100&q=0&w=256,http://www.upandupnyc.com,(212) 260-3000,116 Macdougal St,"[('Saturday', '5pm-3am'), ('Sunday', '5pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-3am'), ('Friday', '5pm-3am'), ('Saturday', '5pm-3am'), ('Sunday', '5pm-2am'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-3am'), ('Friday', '5pm-3am')]","What was once the famous Gaslight Cafe is now a dark and vibey little cocktail bar. It’s a great spot for a low key, high-end drink with a friend or someone you’re trying to make more than a friend. Combine with a visit to Dante for ideal MacDougal Street date moves.",4
Triona's,1,https://infatuation.imgix.net/media/images/guides/the-manhattan-bar-directory/trionas-1681.jpg?auto=format&blur=100&q=0&w=256,http://trionasnyc.com,(646) 448-4671,237 Sullivan St,"[('Saturday', '12pm-4am'), ('Sunday', '12pm-4am'), ('Monday', '1pm-4am'), ('Tuesday', '1pm-4am'), ('Wednesday', '1pm-4am'), ('Thursday', '1pm-4am'), ('Friday', '1pm-4am'), ('Saturday', '12pm-4am'), ('Sunday', '12pm-4am'), ('Monday', '1pm-4am'), ('Tuesday', '1pm-4am'), ('Wednesday', '1pm-4am'), ('Thursday', '1pm-4am'), ('Friday', '1pm-4am')]","NYU’s version of Cheers. But divey-er. Triona’s will satisfy all your basic drinking and sports-watching needs. They also have specials throughout the week, including $10 pitchers of Bud Light and Miller Light from 12-7PM on Sundays and 1-8PM on Mondays.",4
Vbar,2,No image available.,http://vbarandcompany.com,(212) 253-5740,225 Sullivan St,"[('Saturday', '10am-4am'), ('Sunday', '10am-2am'), ('Monday', '8am-2am'), ('Tuesday', '8am-2am'), ('Wednesday', '8am-2am'), ('Thursday', '8am-2am'), ('Friday', '8am-4am'), ('Saturday', '10am-4am'), ('Sunday', '10am-2am'), ('Monday', '8am-2am'), ('Tuesday', '8am-2am'), ('Wednesday', '8am-2am'), ('Thursday', '8am-2am'), ('Friday', '8am-4am')]","Servicing the NYU crowd’s need for both coffee and wine, VBar is a quiet little spot we’d recommend for catching up with a friend or a solo drink.",4
124 Old Rabbit Club,1,No image available.,No website available.,(212) 254-0575,124 Macdougal St,"[('Saturday', '6pm-4am'), ('Sunday', '6pm-4am'), ('Monday', '6pm-2am'), ('Tuesday', '6pm-2am'), ('Wednesday', '6pm-2am'), ('Thursday', '6pm-2am'), ('Friday', '6pm-4am'), ('Saturday', '6pm-4am'), ('Sunday', '6pm-4am'), ('Monday', '6pm-2am'), ('Tuesday', '6pm-2am'), ('Wednesday', '6pm-2am'), ('Thursday', '6pm-2am'), ('Friday', '6pm-4am')]","This below-ground tiny dive (with maybe 10 seats) is a craft beer nerd’s dream. If you worship Pliny The Elder, come here.",4
Sweetwater Social,3,No image available.,http://www.drinksweetwater.com,(212) 253-0477,643 Broadway,"[('Saturday', '5pm-2am'), ('Sunday', 'Closed'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am'), ('Saturday', '5pm-2am'), ('Sunday', 'Closed'), ('Monday', '5pm-2am'), ('Tuesday', '5pm-2am'), ('Wednesday', '5pm-2am'), ('Thursday', '5pm-2am'), ('Friday', '5pm-2am')]","We’re pretty sure no one uses the word “lounge” to describe bars anymore, but it seems appropriate for Sweetwater Social. This is a big, below-ground spot that tends to have a lot of action at peak times, and it’s best used for larger groups. Bonus: you can play shuffleboard here.",4
Reservoir,1,https://infatuation.imgix.net/media/CACHE/images/reviews/reservoir/banners/Reservoir-NYC-University-Place_1/5e59922e6759361091534485a9a47327.jpg?auto=format&blur=100&q=0&w=256,https://www.facebook.com/pages/Reservoir-Bar/116055921756458,212-598-0055,70 University Pl.,"[('Saturday', '11:30am-4am'), ('Sunday', '12am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am'), ('Saturday', '11:30am-4am'), ('Sunday', '12am-4am'), ('Monday', '11:30am-4am'), ('Tuesday', '11:30am-4am'), ('Wednesday', '11:30am-4am'), ('Thursday', '11:30am-4am'), ('Friday', '11:30am-4am')]","Electing to go to a bar near NYU during the “school year” is always a gamble, but when it has wings, burgers, and waffle fries this good, it’s worth the risk. Reservoir is close to Union Square, and given the generally casual atmosphere, it’s a perfect meeting spot when it’s time for an afternoon/evening of game-watching, boozing, and crushing some classic bar food.",4
Vol de Nuit,2,No image available.,http://www.voldenuitbar.com/main1.html,(212) 982-3388,148 W 4th St,"[('Saturday', '4pm-3am'), ('Sunday', '4pm-12am'), ('Monday', '4pm-12am'), ('Tuesday', '4pm-12am'), ('Wednesday', '4pm-12am'), ('Thursday', '4pm-1am'), ('Friday', '4pm-3am'), ('Saturday', '4pm-3am'), ('Sunday', '4pm-12am'), ('Monday', '4pm-12am'), ('Tuesday', '4pm-12am'), ('Wednesday', '4pm-12am'), ('Thursday', '4pm-1am'), ('Friday', '4pm-3am')]","A cozy, comfortable Belgian beer bar with a great patio. Not a rager by any means, but a place we’d recommend to grab a drink and have a low-key catch up with friends.",4
